policy,n,success_rate,success_ci95_low,success_ci95_high,mean_cost,mean_latency_ms,budget_compliance,route_exact_match,action_precision,action_recall,action_f1
oracle,108,1.0,1.0,1.0,1.5,0.0016685166666666666,1.0,1.0,1.0,1.0,1.0
static_workload,108,0.9351851851851852,0.8796296296296297,0.9722222222222222,3.0833333333333335,0.0019285444444444445,0.6666666666666666,0.1111111111111111,0.37222222222222223,0.950354609929078,0.5349301397205589
fixed_agent,108,0.9351851851851852,0.8796296296296297,0.9722222222222222,4.95,0.002015272222222222,0.0,0.0,0.2611111111111111,1.0,0.4140969162995595
learned_budget,108,0.7592592592592593,0.6759259259259259,0.8333333333333334,1.5601851851851851,0.17544229074074075,1.0,0.5,0.8041958041958042,0.8156028368794326,0.8098591549295774
learned_one_shot,108,0.4166666666666667,0.32407407407407407,0.5185185185185185,1.1944444444444444,0.17582971481481482,1.0,0.1574074074074074,0.6956521739130435,0.45390070921985815,0.5493562231759657
random,108,0.37962962962962965,0.29606481481481484,0.4722222222222222,1.8712962962962962,0.008027162962962964,1.0,0.09259259259259259,0.27071823204419887,0.3475177304964539,0.3043478260869565
keyword,108,0.32407407407407407,0.24050925925925926,0.4166666666666667,0.5398148148148147,0.0029571,1.0,0.32407407407407407,1.0,0.19858156028368795,0.3313609467455621
direct,108,0.25925925925925924,0.1849537037037037,0.35185185185185186,0.3,0.0009016277777777777,1.0,0.25925925925925924,1.0,0.0,0.0
