training_tasks,threshold,test_success,test_cost,test_route_exact_match,test_action_f1,challenge_success,challenge_cost,challenge_route_exact_match,challenge_action_f1
36,0.4,1.0,1.7592592592592593,0.7407407407407407,0.9096774193548387,0.7592592592592593,1.5601851851851851,0.5,0.8098591549295774
72,0.35,1.0,1.7592592592592593,0.7407407407407407,0.9096774193548387,0.7592592592592593,1.5601851851851851,0.5,0.8098591549295774
108,0.35,1.0,1.7592592592592593,0.7407407407407407,0.9096774193548387,0.7592592592592593,1.5601851851851851,0.5,0.8098591549295774
144,0.4,1.0,1.7592592592592593,0.7407407407407407,0.9096774193548387,0.7592592592592593,1.5601851851851851,0.5,0.8098591549295774
216,0.4,1.0,1.7592592592592593,0.7407407407407407,0.9096774193548387,0.7592592592592593,1.5601851851851851,0.5,0.8098591549295774
