treatment,baseline,success_difference,ci95_low,ci95_high,treatment_only_successes,baseline_only_successes,exact_sign_p,cost_difference,latency_difference_ms
learned_budget,direct,0.5,0.4074074074074074,0.5925925925925926,54,0,1.1102230246251565e-16,1.2601851851851853,0.17454066296296297
learned_budget,fixed_agent,-0.17592592592592593,-0.2777777777777778,-0.07407407407407407,7,26,0.0013187271542847157,-3.389814814814815,0.17342701851851852
learned_budget,keyword,0.4351851851851852,0.3148148148148148,0.5462962962962963,54,7,4.32210722073334e-10,1.0203703703703704,0.17248519074074073
learned_budget,learned_one_shot,0.3425925925925926,0.25925925925925924,0.4444444444444444,37,0,1.4551915228366852e-11,0.36574074074074076,-0.00038742407407407357
learned_budget,oracle,-0.24074074074074073,-0.32407407407407407,-0.16666666666666666,0,26,2.9802322387695312e-08,0.0601851851851852,0.17377377407407407
learned_budget,random,0.37962962962962965,0.2777777777777778,0.49074074074074076,44,3,2.4647306418046355e-10,-0.31111111111111106,0.16741512777777778
learned_budget,static_workload,-0.17592592592592593,-0.2777777777777778,-0.07407407407407407,7,26,0.0013187271542847157,-1.5231481481481481,0.1735137462962963
