policy,n,success_rate,success_ci95_low,success_ci95_high,mean_cost,mean_latency_ms,budget_compliance,route_exact_match,action_precision,action_recall,action_f1
oracle,108,1.0,1.0,1.0,1.5,0.0015374981481481483,1.0,1.0,1.0,1.0,1.0
learned_budget,108,1.0,1.0,1.0,1.7592592592592593,0.16556058703703705,1.0,0.7407407407407407,0.834319526627219,1.0,0.9096774193548387
static_workload,108,0.9351851851851852,0.8796296296296297,0.9722222222222222,3.0833333333333335,0.0017181537037037036,0.6666666666666666,0.1111111111111111,0.37222222222222223,0.950354609929078,0.5349301397205589
fixed_agent,108,0.9351851851851852,0.8796296296296297,0.9722222222222222,4.95,0.0017747092592592592,0.0,0.0,0.2611111111111111,1.0,0.4140969162995595
keyword,108,0.5833333333333334,0.49074074074074076,0.6759259259259259,1.1277777777777778,0.0030847314814814817,1.0,0.5833333333333334,1.0,0.6808510638297872,0.810126582278481
learned_one_shot,108,0.5648148148148148,0.4722222222222222,0.6574074074074074,1.3592592592592592,0.16473464074074073,1.0,0.3055555555555556,0.7407407407407407,0.5673758865248227,0.642570281124498
random,108,0.4074074074074074,0.3148148148148148,0.5,1.6796296296296296,0.011827472222222222,1.0,0.1111111111111111,0.28846153846153844,0.3191489361702128,0.30303030303030304
direct,108,0.25925925925925924,0.1849537037037037,0.35185185185185186,0.3,0.0009088740740740741,1.0,0.25925925925925924,1.0,0.0,0.0
