treatment,baseline,success_difference,ci95_low,ci95_high,treatment_only_successes,baseline_only_successes,exact_sign_p,cost_difference,latency_difference_ms
learned_budget,direct,0.7407407407407407,0.6574074074074074,0.8240740740740741,80,0,1.6543612251060553e-24,1.4592592592592593,0.16465171296296296
learned_budget,fixed_agent,0.06481481481481481,0.027777777777777776,0.1111111111111111,7,0,0.015625,-3.190740740740741,0.16378587777777778
learned_budget,keyword,0.4166666666666667,0.32407407407407407,0.5185185185185185,45,0,5.684341886080802e-14,0.6314814814814814,0.16247585555555555
learned_budget,learned_one_shot,0.4351851851851852,0.3425925925925926,0.5277777777777778,47,0,1.4210854715202004e-14,0.39999999999999997,0.0008259462962962974
learned_budget,oracle,0.0,0.0,0.0,0,0,1.0,0.25925925925925924,0.1640230888888889
learned_budget,random,0.5925925925925926,0.5,0.6851851851851852,64,0,1.0842021724855044e-19,0.07962962962962965,0.1537331148148148
learned_budget,static_workload,0.06481481481481481,0.027777777777777776,0.1111111111111111,7,0,0.015625,-1.3240740740740742,0.16384243333333334
