policy,n,success_rate,success_ci95,expected_success,mean_cost,cost_per_success,mean_latency_s,retry_rate,budget_compliance,utility
adaptive,5400,0.7944444444444444,0.012030569831580776,0.7844780609144989,2.9123633333333334,3.6659118881118884,20.451333333333334,0.08166666666666667,1.0,0.6909583611111111
static_workload,5400,0.7670370370370371,0.012946517281875798,0.7705715868502776,2.7813333333333334,3.6260743602124577,19.226666666666667,0.0,1.0,0.6686637037037038
one_shot,5400,0.6742592592592592,0.011772733122067554,0.673983984385938,1.8264222222222222,2.7087833012908544,12.455222222222222,0.0,1.0,0.6099158703703703
always_tool,5400,0.6368518518518519,0.01121545631850685,0.626459175423594,1.96,3.0776388485024713,13.440000000000001,0.0,1.0,0.5676918518518519
always_decompose,5400,0.6096296296296296,0.012605160582763349,0.6036961270318111,1.3439999999999999,2.204617253948967,8.4,0.0,1.0,0.5634296296296297
random,5400,0.6351851851851852,0.012056973371357804,0.6313677720251496,2.538511111111111,3.9964897959183676,17.8589,0.0,1.0,0.5449340574074074
always_code,5400,0.6083333333333333,0.011108826074104954,0.608970881605271,2.24,3.6821917808219187,15.68,0.0,1.0,0.5288133333333332
direct,5400,0.529074074074074,0.011529431533913491,0.5267364039140838,0.728,1.375988799439972,4.48,0.0,1.0,0.5041540740740741
