treatment,baseline,success_difference,ci95_low,ci95_high,treatment_only_successes,baseline_only_successes,exact_sign_p,cost_difference,latency_difference_ms
full,learned_one_shot,0.4351851851851852,0.3425925925925926,0.5277777777777778,47,0,1.4210854715202004e-14,0.39999999999999997,0.001781468518518522
full,no_budget,0.0,0.0,0.0,0,0,1.0,0.0,0.0009974462962962969
full,no_calibration,0.0,0.0,0.0,0,0,1.0,0.0,0.00019643518518518903
full,word_only,0.12962962962962962,0.0738425925925926,0.19444444444444445,14,0,0.0001220703125,0.3921296296296296,0.1488254537037037
