policy,n,success_rate,success_ci95_low,success_ci95_high,mean_cost,mean_latency_ms,budget_compliance,route_exact_match,action_precision,action_recall,action_f1
full,108,1.0,1.0,1.0,1.7592592592592593,0.17126859074074074,1.0,0.7407407407407407,0.834319526627219,1.0,0.9096774193548387
no_calibration,108,1.0,1.0,1.0,1.7592592592592593,0.17107215555555555,1.0,0.7407407407407407,0.834319526627219,1.0,0.9096774193548387
no_budget,108,1.0,1.0,1.0,1.7592592592592593,0.17027114444444444,1.0,0.7407407407407407,0.834319526627219,1.0,0.9096774193548387
word_only,108,0.8703703703703703,0.8055555555555556,0.9259259259259259,1.3671296296296296,0.02244313703703704,1.0,0.8703703703703703,1.0,0.900709219858156,0.9477611940298507
learned_one_shot,108,0.5648148148148148,0.4722222222222222,0.6574074074074074,1.3592592592592592,0.16948712222222223,1.0,0.3055555555555556,0.7407407407407407,0.5673758865248227,0.642570281124498
